index,product,category,price,quantity,brand,Sales Volume
1,Colgate Household Essentials Product 1,Household Essentials,475.85,156,Colgate,12
2,Britannia Bakery Product 2,Bakery,86.45,264,Britannia,15
3,Amul Dairy Product 3,Dairy,304.55,201,Amul,7
4,McCain Frozen Foods Product 4,Frozen Foods,485.26,463,McCain,42
5,Haldiram Snacks Product 5,Snacks,496.18,210,Haldiram,16
6,Kurkure Snacks Product 6,Snacks,13.46,394,Kurkure,31
7,Nestle Dairy Product 7,Dairy,78.35,237,Nestle,20
8,Harpic Household Essentials Product 8,Household Essentials,54.4,495,Harpic,48
9,Colgate Household Essentials Product 9,Household Essentials,300.28,180,Colgate,41
10,Nestle Dairy Product 10,Dairy,93.56,216,Nestle,22
11,Local Farm Fruits & Vegetables Product 11,Fruits & Vegetables,483.16,291,Local Farm,13
12,Lays Snacks Product 12,Snacks,123.14,141,Lays,11
13,Local Farm Fruits & Vegetables Product 13,Fruits & Vegetables,418.27,84,Local Farm,18
14,Tropicana Beverages Product 14,Beverages,99.3,437,Tropicana,6
15,ITC Frozen Foods Product 15,Frozen Foods,111.89,309,ITC,33
16,Harpic Household Essentials Product 16,Household Essentials,389.82,211,Harpic,14
17,ITC Frozen Foods Product 17,Frozen Foods,366.36,320,ITC,12
18,Sumeru Frozen Foods Product 18,Frozen Foods,265.21,239,Sumeru,44
19,Harvest Gold Bakery Product 19,Bakery,376.19,416,Harvest Gold,28
20,Lays Snacks Product 20,Snacks,147.66,429,Lays,49
21,Coca-Cola Beverages Product 21,Beverages,403.08,114,Coca-Cola,29
22,Surf Excel Household Essentials Product 22,Household Essentials,388.4,185,Surf Excel,28
23,Dettol Household Essentials Product 23,Household Essentials,107.43,441,Dettol,39
24,Amul Dairy Product 24,Dairy,306.92,280,Amul,45
25,Local Farm Fruits & Vegetables Product 25,Fruits & Vegetables,426.52,317,Local Farm,38
26,Tropicana Beverages Product 26,Beverages,191.7,111,Tropicana,28
27,Britannia Bakery Product 27,Bakery,299.74,263,Britannia,31
28,Amul Dairy Product 28,Dairy,197.63,480,Amul,18
29,Amul Dairy Product 29,Dairy,363.65,304,Amul,18
30,Dettol Household Essentials Product 30,Household Essentials,266.14,64,Dettol,30
31,Haldiram Snacks Product 31,Snacks,62.87,112,Haldiram,36
32,Surf Excel Household Essentials Product 32,Household Essentials,164.03,145,Surf Excel,8
33,McCain Frozen Foods Product 33,Frozen Foods,132.15,286,McCain,19
34,Amul Dairy Product 34,Dairy,122.11,209,Amul,11
35,Nestle Dairy Product 35,Dairy,89.0,115,Nestle,46
36,Harvest Gold Bakery Product 36,Bakery,320.37,183,Harvest Gold,32
37,Fresh Pick Fruits & Vegetables Product 37,Fruits & Vegetables,101.42,335,Fresh Pick,15
38,Bingo Snacks Product 38,Snacks,449.08,280,Bingo,37
39,Coca-Cola Beverages Product 39,Beverages,327.37,170,Coca-Cola,17
40,Red Bull Beverages Product 40,Beverages,13.41,460,Red Bull,13
41,McCain Frozen Foods Product 41,Frozen Foods,349.29,283,McCain,48
42,Dettol Household Essentials Product 42,Household Essentials,168.37,145,Dettol,28
43,Tropicana Beverages Product 43,Beverages,188.18,491,Tropicana,16
44,Sumeru Frozen Foods Product 44,Frozen Foods,253.65,162,Sumeru,41
45,Tropicana Beverages Product 45,Beverages,28.07,162,Tropicana,6
46,Haldiram Snacks Product 46,Snacks,35.22,273,Haldiram,37
47,Red Bull Beverages Product 47,Beverages,343.55,102,Red Bull,48
48,Haldiram Snacks Product 48,Snacks,280.92,296,Haldiram,8
49,Dettol Household Essentials Product 49,Household Essentials,191.13,450,Dettol,42
