index,product,category,price,quantity,brand,sales volume,normalized_demand,demand_category,inventory_strategy
1,Colgate Household Essentials Product 1,Household Essentials,475.85,156,Colgate,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
2,Britannia Bakery Product 2,Bakery,86.45,264,Britannia,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
3,Amul Dairy Product 3,Dairy,304.55,201,Amul,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
4,McCain Frozen Foods Product 4,Frozen Foods,485.26,463,McCain,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
5,Haldiram Snacks Product 5,Snacks,496.18,210,Haldiram,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
6,Kurkure Snacks Product 6,Snacks,13.46,394,Kurkure,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
7,Nestle Dairy Product 7,Dairy,78.35,237,Nestle,20,0.3409090909090909,High Demand,"Central warehouse, closest to delivery hubs"
8,Harpic Household Essentials Product 8,Household Essentials,54.4,495,Harpic,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
9,Colgate Household Essentials Product 9,Household Essentials,300.28,180,Colgate,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
10,Nestle Dairy Product 10,Dairy,93.56,216,Nestle,22,0.38636363636363635,High Demand,"Central warehouse, closest to delivery hubs"
11,Local Farm Fruits & Vegetables Product 11,Fruits & Vegetables,483.16,291,Local Farm,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
12,Lays Snacks Product 12,Snacks,123.14,141,Lays,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
13,Local Farm Fruits & Vegetables Product 13,Fruits & Vegetables,418.27,84,Local Farm,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
14,Tropicana Beverages Product 14,Beverages,99.3,437,Tropicana,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
15,ITC Frozen Foods Product 15,Frozen Foods,111.89,309,ITC,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
16,Harpic Household Essentials Product 16,Household Essentials,389.82,211,Harpic,14,0.20454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
17,ITC Frozen Foods Product 17,Frozen Foods,366.36,320,ITC,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
18,Sumeru Frozen Foods Product 18,Frozen Foods,265.21,239,Sumeru,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
19,Harvest Gold Bakery Product 19,Bakery,376.19,416,Harvest Gold,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
20,Lays Snacks Product 20,Snacks,147.66,429,Lays,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
21,Coca-Cola Beverages Product 21,Beverages,403.08,114,Coca-Cola,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
22,Surf Excel Household Essentials Product 22,Household Essentials,388.4,185,Surf Excel,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
23,Dettol Household Essentials Product 23,Household Essentials,107.43,441,Dettol,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
24,Amul Dairy Product 24,Dairy,306.92,280,Amul,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
25,Local Farm Fruits & Vegetables Product 25,Fruits & Vegetables,426.52,317,Local Farm,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
26,Tropicana Beverages Product 26,Beverages,191.7,111,Tropicana,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
27,Britannia Bakery Product 27,Bakery,299.74,263,Britannia,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
28,Amul Dairy Product 28,Dairy,197.63,480,Amul,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
29,Amul Dairy Product 29,Dairy,363.65,304,Amul,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
30,Dettol Household Essentials Product 30,Household Essentials,266.14,64,Dettol,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
31,Haldiram Snacks Product 31,Snacks,62.87,112,Haldiram,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
32,Surf Excel Household Essentials Product 32,Household Essentials,164.03,145,Surf Excel,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
33,McCain Frozen Foods Product 33,Frozen Foods,132.15,286,McCain,19,0.3181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
